query,pandas_function_call
Find cumulative sum of profit,df['profit'].cumsum()
Count entries in height,df['height'].count()
Show distinct entries for revenue,df['revenue'].unique()
Get unique values of expenses,df['expenses'].unique()
Get cumprod for sales,df['sales'].cumprod()
Compute kurtosis for expenses,df['expenses'].kurt()
Compute MAD for price,df['price'].mad()
Show relationship of revenue,df.corr()['revenue']
Compute MAD for sales,df['sales'].mad()
Find median quantile of score,df['score'].quantile(0.5)
Find percentage change in revenue,df['revenue'].pct_change()
Find kurtosis of profit,df['profit'].kurt()
Find median quantile of weight,df['weight'].quantile(0.5)
Total count for height,df['height'].count()
Compute value counts of weight,df['weight'].value_counts()
Get quantile for sales,df['sales'].quantile(0.5)
Total count for score,df['score'].count()
Compute mode for revenue,df['revenue'].mode()
Show statistics for temperature,df['temperature'].describe()
Compute change for expenses,df['expenses'].diff()
Find kurtosis of age,df['age'].kurt()
Get middle value of profit,df['profit'].median()
Get MAD of revenue,df['revenue'].mad()
Find percentage change in weight,df['weight'].pct_change()
Count entries in profit,df['profit'].count()
Find mode of age,df['age'].mode()
Find cumulative min of score,df['score'].cummin()
Find the median of price,df['price'].median()
Get cumsum for price,df['price'].cumsum()
Find minimum of sales,df['sales'].min()
Show percent change of weight,df['weight'].pct_change()
Compute skew for temperature,df['temperature'].skew()
Get nunique of sales,df['sales'].nunique()
Find cumulative product of revenue,df['revenue'].cumprod()
Count entries in sales,df['sales'].count()
Show highest value for sales,df['sales'].max()
Compute correlation for profit,df.corr()['profit']
Get MAD of expenses,df['expenses'].mad()
Compute running max for revenue,df['revenue'].cummax()
Describe values of age,df['age'].describe()
Get variation in sales,df['sales'].std()
Get cummax for height,df['height'].cummax()
Compute std for sales,df['sales'].std()
Get quantile for revenue,df['revenue'].quantile(0.5)
Compute running max for profit,df['profit'].cummax()
Get MAD of price,df['price'].mad()
Find kurtosis of profit,df['profit'].kurt()
Find unique values in profit,df['profit'].unique()
Compute variance for age,df['age'].var()
Find unique values in weight,df['weight'].unique()
Get nunique of profit,df['profit'].nunique()
Total count for price,df['price'].count()
Compute running max for temperature,df['temperature'].cummax()
Get the max of height,df['height'].max()
Find mean absolute deviation of height,df['height'].mad()
Find cumulative min of age,df['age'].cummin()
Get variation in profit,df['profit'].std()
Compute change for weight,df['weight'].diff()
Describe values of height,df['height'].describe()
Find kurtosis of expenses,df['expenses'].kurt()
Find cumulative sum of price,df['price'].cumsum()
Find mode of expenses,df['expenses'].mode()
Get MAD of score,df['score'].mad()
Show covariance of revenue,df.cov()['revenue']
Find number of records for profit,df['profit'].count()
Compute pct change for height,df['height'].pct_change()
Show kurtosis of age,df['age'].kurt()
Compute variance for weight,df['weight'].var()
Find cumulative max of score,df['score'].cummax()
Find variance of profit,df['profit'].var()
Count entries in height,df['height'].count()
Get cummax for score,df['score'].cummax()
Find cumulative min of sales,df['sales'].cummin()
Show relationship of price,df.corr()['price']
Compute covariance for age,df.cov()['age']
Find percentage change in weight,df['weight'].pct_change()
Show skew value for score,df['score'].skew()
Find skewness of sales,df['sales'].skew()
Calculate sum for age,df['age'].sum()
Compute kurtosis for age,df['age'].kurt()
Get nunique of expenses,df['expenses'].nunique()
Show relationship of score,df.corr()['score']
Find cumulative max of sales,df['sales'].cummax()
Get the min of weight,df['weight'].min()
Get the min of revenue,df['revenue'].min()
Show frequency distribution for profit,df['profit'].value_counts()
Get variation in expenses,df['expenses'].std()
Find value counts of age,df['age'].value_counts()
Calculate sum for temperature,df['temperature'].sum()
Get diff for score,df['score'].diff()
Show mean of temperature,df['temperature'].mean()
Find mean absolute deviation of age,df['age'].mad()
Find number of unique values in weight,df['weight'].nunique()
Find minimum of age,df['age'].min()
Find number of unique values in sales,df['sales'].nunique()
Get statistical variance of age,df['age'].var()
Find the median of weight,df['weight'].median()
Show highest value for price,df['price'].max()
Find the median of score,df['score'].median()
Compute covariance for temperature,df.cov()['temperature']
Describe values of age,df['age'].describe()
Compute percentile for revenue,df['revenue'].quantile(0.5)
Find percentage change in revenue,df['revenue'].pct_change()
Find mean absolute deviation of revenue,df['revenue'].mad()
Compute skew for sales,df['sales'].skew()
Get cummin for profit,df['profit'].cummin()
Compute mode for revenue,df['revenue'].mode()
Compute value counts of weight,df['weight'].value_counts()
Get unique values of sales,df['sales'].unique()
Compute running max for height,df['height'].cummax()
Find cumulative product of weight,df['weight'].cumprod()
Find covariance of age,df.cov()['age']
Find the sum of weight,df['weight'].sum()
Find cumulative product of price,df['price'].cumprod()
Compute percentile for price,df['price'].quantile(0.5)
Get variation in revenue,df['revenue'].std()
Show covariance of temperature,df.cov()['temperature']
Find correlation with score,df.corr()['score']
Find median quantile of price,df['price'].quantile(0.5)
Compute change for score,df['score'].diff()
Compute running product for height,df['height'].cumprod()
Show skew value for height,df['height'].skew()
Get summary of expenses,df['expenses'].describe()
Find cumulative product of age,df['age'].cumprod()
Get summary of sales,df['sales'].describe()
Show distinct entries for weight,df['weight'].unique()
Compute percentile for weight,df['weight'].quantile(0.5)
Compute skew for sales,df['sales'].skew()
Find unique values in profit,df['profit'].unique()
Find the median of score,df['score'].median()
Show frequency distribution for sales,df['sales'].value_counts()
Compute value counts of price,df['price'].value_counts()
Get cumprod for score,df['score'].cumprod()
Show statistics for age,df['age'].describe()
Compute change for profit,df['profit'].diff()
Get quantile for expenses,df['expenses'].quantile(0.5)
Find number of unique values in revenue,df['revenue'].nunique()
Find number of unique values in profit,df['profit'].nunique()
Compute running min for price,df['price'].cummin()
Get the max of sales,df['sales'].max()
Count unique entries for revenue,df['revenue'].nunique()
Find standard deviation of revenue,df['revenue'].std()
Compute covariance for age,df.cov()['age']
Get cumprod for height,df['height'].cumprod()
Find the average of height,df['height'].mean()
Find percentage change in profit,df['profit'].pct_change()
Show kurtosis of age,df['age'].kurt()
Get quantile for score,df['score'].quantile(0.5)
Get cummin for price,df['price'].cummin()
Find percentage change in weight,df['weight'].pct_change()
Describe values of weight,df['weight'].describe()
Get total of price,df['price'].sum()
Total count for price,df['price'].count()
Find standard deviation of weight,df['weight'].std()
Find the average of weight,df['weight'].mean()
Compute running max for price,df['price'].cummax()
Find minimum of price,df['price'].min()
Count unique entries for score,df['score'].nunique()
Show percent change of profit,df['profit'].pct_change()
Find the average of weight,df['weight'].mean()
Compute percentile for score,df['score'].quantile(0.5)
Get total of revenue,df['revenue'].sum()
Compute running min for weight,df['weight'].cummin()
Find number of records for height,df['height'].count()
Find percentage change in score,df['score'].pct_change()
Find kurtosis of profit,df['profit'].kurt()
Find cumulative min of height,df['height'].cummin()
Show statistics for score,df['score'].describe()
Compute correlation for weight,df.corr()['weight']
Calculate sum for revenue,df['revenue'].sum()
Show relationship of age,df.corr()['age']
Find difference in price,df['price'].diff()
Get quantile for expenses,df['expenses'].quantile(0.5)
Find cumulative product of price,df['price'].cumprod()
Find skewness of price,df['price'].skew()
Compute percentile for expenses,df['expenses'].quantile(0.5)
Compute std for score,df['score'].std()
Get diff for age,df['age'].diff()
Describe values of price,df['price'].describe()
Compute value counts of expenses,df['expenses'].value_counts()
Get statistical variance of height,df['height'].var()
Find skewness of profit,df['profit'].skew()
Count entries in weight,df['weight'].count()
Find skewness of height,df['height'].skew()
Total count for age,df['age'].count()
Count entries in revenue,df['revenue'].count()
Get cummax for weight,df['weight'].cummax()
Find difference in score,df['score'].diff()
Show lowest value for profit,df['profit'].min()
Get total of expenses,df['expenses'].sum()
Get nunique of weight,df['weight'].nunique()
Get cumsum for height,df['height'].cumsum()
Get most frequent value in score,df['score'].mode()
Show percent change of weight,df['weight'].pct_change()
Describe values of age,df['age'].describe()
Find cumulative max of temperature,df['temperature'].cummax()
Find minimum of score,df['score'].min()
Show mean of sales,df['sales'].mean()
Count entries in height,df['height'].count()
Compute running max for revenue,df['revenue'].cummax()
Compute change for weight,df['weight'].diff()
Get cumsum for weight,df['weight'].cumsum()
Find cumulative max of profit,df['profit'].cummax()
Count unique entries for temperature,df['temperature'].nunique()
Total count for price,df['price'].count()
